split,head,head_id,bin,bin_id,n,prevalence,auc_point,auc_ci_lo,auc_ci_hi,mcc_point,mcc_ci_lo,mcc_ci_hi
tan70,hERG 10 µM,herg_blocker_10um,0.0–0.3,0.00-0.30,513,0.0409357,0.81204,0.695894,0.911134,0.21765,0.0695447,0.358355
tan70,hERG 10 µM,herg_blocker_10um,0.3–0.5,0.30-0.50,8990,0.0369299,0.886784,0.866043,0.907124,0.385807,0.340974,0.426414
tan70,hERG 10 µM,herg_blocker_10um,0.5–0.7,0.50-0.70,36617,0.0159489,0.920194,0.903948,0.935284,0.517685,0.488612,0.545885
tan70,hERG 10 µM,herg_blocker_10um,0.7–1.0,0.70-1.01,,,,,,,,
tan70,hERG 1 µM,herg_blocker_1um,0.0–0.3,0.00-0.30,501,0.00199601,0.844,0.812,0.876,-0.00283126,-0.00696302,0
tan70,hERG 1 µM,herg_blocker_1um,0.3–0.5,0.30-0.50,8954,0.00636587,0.909889,0.862447,0.952633,0.2227,0.142611,0.307104
tan70,hERG 1 µM,herg_blocker_1um,0.5–0.7,0.50-0.70,36587,0.00404515,0.970396,0.949016,0.985817,0.442608,0.384854,0.495706
tan70,hERG 1 µM,herg_blocker_1um,0.7–1.0,0.70-1.01,,,,,,,,
tan70,Nav1.5,nav15_blocker,0.0–0.3,0.00-0.30,10,0.1,0.666667,0.333333,1,-0.166667,-0.485714,0
tan70,Nav1.5,nav15_blocker,0.3–0.5,0.30-0.50,71,0.169014,0.806497,0.695007,0.907192,0.451506,0.179131,0.674022
tan70,Nav1.5,nav15_blocker,0.5–0.7,0.50-0.70,137,0.350365,0.827715,0.755548,0.89625,0.442722,0.289122,0.593649
tan70,Nav1.5,nav15_blocker,0.7–1.0,0.70-1.01,,,,,,,,
tan70,Cav1.2,cav12_blocker,0.0–0.3,0.00-0.30,9,0.222222,0.5,0,1,0.188982,-0.478091,0.775847
tan70,Cav1.2,cav12_blocker,0.3–0.5,0.30-0.50,66,0.212121,0.635989,0.467313,0.782505,0.0225915,-0.200006,0.27068
tan70,Cav1.2,cav12_blocker,0.5–0.7,0.50-0.70,85,0.329412,0.940476,0.880557,0.984848,0.747804,0.624211,0.864185
tan70,Cav1.2,cav12_blocker,0.7–1.0,0.70-1.01,,,,,,,,
tan70,IKs,iks_blocker,0.0–0.3,0.00-0.30,,,,,,,,
tan70,IKs,iks_blocker,0.3–0.5,0.30-0.50,,,,,,,,
tan70,IKs,iks_blocker,0.5–0.7,0.50-0.70,7,0.142857,0.333333,0,0.69375,-0.166667,-0.471405,0
tan70,IKs,iks_blocker,0.7–1.0,0.70-1.01,,,,,,,,
tan60,hERG 10 µM,herg_blocker_10um,0.0–0.3,0.00-0.30,282,0.0460993,0.824707,0.690657,0.928751,0.318574,0.181416,0.451477
tan60,hERG 10 µM,herg_blocker_10um,0.3–0.5,0.30-0.50,4651,0.0477317,0.884762,0.856448,0.909715,0.396471,0.354854,0.436733
tan60,hERG 10 µM,herg_blocker_10um,0.5–0.7,0.50-0.70,8898,0.0223646,0.902035,0.873137,0.92724,0.380619,0.333441,0.430578
tan60,hERG 10 µM,herg_blocker_10um,0.7–1.0,0.70-1.01,,,,,,,,
tan60,hERG 1 µM,herg_blocker_1um,0.0–0.3,0.00-0.30,,,,,,,,
tan60,hERG 1 µM,herg_blocker_1um,0.3–0.5,0.30-0.50,4605,0.0104235,0.918623,0.878491,0.95032,0.237696,0.153744,0.319677
tan60,hERG 1 µM,herg_blocker_1um,0.5–0.7,0.50-0.70,8886,0.00573937,0.936039,0.892993,0.972643,0.38061,0.297451,0.460831
tan60,hERG 1 µM,herg_blocker_1um,0.7–1.0,0.70-1.01,,,,,,,,
tan60,Nav1.5,nav15_blocker,0.0–0.3,0.00-0.30,,,,,,,,
tan60,Nav1.5,nav15_blocker,0.3–0.5,0.30-0.50,55,0.163636,0.838164,0.716013,0.933536,0.480317,0.147442,0.763763
tan60,Nav1.5,nav15_blocker,0.5–0.7,0.50-0.70,27,0.444444,0.711111,0.477861,0.903463,0.331497,-0.0536124,0.682444
tan60,Nav1.5,nav15_blocker,0.7–1.0,0.70-1.01,,,,,,,,
tan60,Cav1.2,cav12_blocker,0.0–0.3,0.00-0.30,,,,,,,,
tan60,Cav1.2,cav12_blocker,0.3–0.5,0.30-0.50,37,0.162162,0.77957,0.536907,0.956413,0.0405772,-0.212512,0.421637
tan60,Cav1.2,cav12_blocker,0.5–0.7,0.50-0.70,19,0.315789,0.75641,0.499716,0.961667,0.204647,-0.266667,0.676356
tan60,Cav1.2,cav12_blocker,0.7–1.0,0.70-1.01,,,,,,,,
tan60,IKs,iks_blocker,0.0–0.3,0.00-0.30,,,,,,,,
tan60,IKs,iks_blocker,0.3–0.5,0.30-0.50,9,0.111111,0.625,0.25,1,0,0,0
tan60,IKs,iks_blocker,0.5–0.7,0.50-0.70,,,,,,,,
tan60,IKs,iks_blocker,0.7–1.0,0.70-1.01,,,,,,,,
