split,head,head_id,threshold_r,threshold_label,n,auc,auc_seed_min,auc_seed_max,auc_seed_std,mcc,sensitivity,specificity,tp,fp,tn,fn
tan70,hERG 10 µM,herg_blocker_10um,0.3,r=0.30,46120,0.914381,0.892045,0.912272,0.00643976,0.455197,0.663821,0.972401,622,1247,43936,315
tan70,hERG 1 µM,herg_blocker_1um,0.3,r=0.30,46042,0.955967,0.934482,0.957339,0.00742105,0.386761,0.631068,0.991121,130,407,45429,76
tan70,Nav1.5,nav15_blocker,0.3,r=0.30,218,0.826877,0.802443,0.820299,0.00629466,0.486689,0.737705,0.783439,45,34,123,16
tan70,Cav1.2,cav12_blocker,0.3,r=0.30,160,0.826998,0.792908,0.83268,0.0149163,0.497316,0.727273,0.801724,32,23,93,12
tan70,IKs,iks_blocker,0.3,r=0.30,14,0.615385,0.461538,0.692308,0.0784465,-0.0769231,0,0.923077,0,1,12,1
tan70,hERG 10 µM,herg_blocker_10um,0.4,r=0.40 (deployed),46120,0.916929,0.899282,0.912882,0.00496057,0.465703,0.640342,0.976319,600,1070,44113,337
tan70,hERG 1 µM,herg_blocker_1um,0.4,r=0.40 (deployed),46042,0.958738,0.943054,0.957105,0.00503642,0.380552,0.563107,0.992888,116,326,45510,90
tan70,Nav1.5,nav15_blocker,0.4,r=0.40 (deployed),218,0.830636,0.800773,0.819254,0.00691444,0.451377,0.704918,0.77707,43,35,122,18
tan70,Cav1.2,cav12_blocker,0.4,r=0.40 (deployed),160,0.841105,0.817006,0.848354,0.0116059,0.488473,0.704545,0.810345,31,22,94,13
tan70,IKs,iks_blocker,0.4,r=0.40 (deployed),14,0.384615,0,0.615385,0.198217,-0.0769231,0,0.923077,0,1,12,1
tan70,hERG 10 µM,herg_blocker_10um,0.5,r=0.50,46120,0.912712,0.898206,0.908886,0.00380485,0.469545,0.623266,0.978399,584,976,44207,353
tan70,hERG 1 µM,herg_blocker_1um,0.5,r=0.50,46042,0.952509,0.933718,0.952578,0.00653972,0.382955,0.582524,0.99243,120,347,45489,86
tan70,Nav1.5,nav15_blocker,0.5,r=0.50,218,0.838258,0.816331,0.823118,0.00226813,0.459508,0.688525,0.796178,42,32,125,19
tan70,Cav1.2,cav12_blocker,0.5,r=0.50,160,0.836011,0.802116,0.838754,0.013069,0.518212,0.727273,0.818966,32,21,95,12
tan70,IKs,iks_blocker,0.5,r=0.50,14,0.615385,0.230769,0.692308,0.215385,-0.0769231,0,0.923077,0,1,12,1
tan60,hERG 10 µM,herg_blocker_10um,0.3,r=0.30,13831,0.901176,0.860987,0.89135,0.0113038,0.390198,0.682028,0.93618,296,855,12542,138
tan60,hERG 1 µM,herg_blocker_1um,0.3,r=0.30,13767,0.935607,0.914766,0.932855,0.0063678,0.320292,0.555556,0.983246,55,229,13439,44
tan60,Nav1.5,nav15_blocker,0.3,r=0.30,86,0.769496,0.643202,0.804693,0.0567783,0.326893,0.521739,0.809524,12,12,51,11
tan60,Cav1.2,cav12_blocker,0.3,r=0.30,59,0.765957,0.632979,0.817376,0.065967,0.108427,0.25,0.851064,3,7,40,9
tan60,IKs,iks_blocker,0.3,r=0.30,11,0.7,0.3,1,0.248193,0,0,1,0,0,10,1
tan60,hERG 10 µM,herg_blocker_10um,0.4,r=0.40 (deployed),13831,0.898338,0.879455,0.887739,0.00380591,0.390684,0.672811,0.93827,292,827,12570,142
tan60,hERG 1 µM,herg_blocker_1um,0.4,r=0.40 (deployed),13767,0.932202,0.908929,0.935109,0.00967447,0.308428,0.555556,0.981709,55,250,13418,44
tan60,Nav1.5,nav15_blocker,0.4,r=0.40 (deployed),86,0.792271,0.656315,0.78951,0.0487891,0.460267,0.652174,0.825397,15,11,52,8
tan60,Cav1.2,cav12_blocker,0.4,r=0.40 (deployed),59,0.765957,0.703901,0.806738,0.0398459,0.108427,0.25,0.851064,3,7,40,9
tan60,IKs,iks_blocker,0.4,r=0.40 (deployed),11,0.5,0.4,0.8,0.146969,0,0,1,0,0,10,1
tan60,hERG 10 µM,herg_blocker_10um,0.5,r=0.50,13831,0.900222,0.884915,0.895914,0.00369995,0.372845,0.682028,0.929387,296,946,12451,138
tan60,hERG 1 µM,herg_blocker_1um,0.5,r=0.50,13767,0.931786,0.910287,0.92597,0.00609177,0.297946,0.545455,0.980977,54,260,13408,45
tan60,Nav1.5,nav15_blocker,0.5,r=0.50,86,0.762595,0.639061,0.775017,0.0442404,0.287785,0.478261,0.809524,11,12,51,12
tan60,Cav1.2,cav12_blocker,0.5,r=0.50,59,0.833333,0.781915,0.836879,0.0200472,0.33547,0.333333,0.93617,4,3,44,8
tan60,IKs,iks_blocker,0.5,r=0.50,11,0.5,0.1,0.9,0.268328,0,0,1,0,0,10,1
